time,chan4_thumb,chan5_index,chan6_middle,chan7_ring,chan8_pinky,label
1.477585097532518e+18,-731.616693778406,-2708.483248734026,345.38819637704574,289.20117221453904,109.43430519807903,1.0
1.477585097540441e+18,619.7484077505809,2588.8072581177303,-299.9644249544276,-275.19788011856457,-108.62824660104089,1.0
1.477585097547589e+18,-561.6963854221921,-2424.6399952395436,259.02929341541636,238.79880372049828,127.00954309799864,1.0
1.4775850975565169e+18,412.10139720485347,2221.0864977345786,-208.2476032868831,-220.84424411537623,-126.14026427568525,1.0
1.477585097564573e+18,-345.04048481984364,-1986.7289186544808,152.1237994910741,189.24990908084018,132.73097854118805,1.0
1.477585097572522e+18,176.7797087736062,1718.2165831393306,-89.55152706037464,-161.63845170344555,-129.45932903710826,1.0
1.4775850975795779e+18,-110.06650801650711,-1419.295292792891,32.289758148958335,101.8636766276444,127.42047495119367,1.0
1.4775850975885898e+18,-54.432661337803914,1092.2725878600208,25.446162840929542,-84.50970969296168,-122.20480180517966,1.0
1.477585097596576e+18,159.789258434756,-751.4678618246986,-81.82284782068184,27.911753747971186,118.39577992664569,1.0
1.477585097603592e+18,-298.2258672390896,392.06056829889445,139.35330288396963,10.336515848051565,-107.94862859597309,1.0
1.4775850976126671e+18,402.5551348444946,-29.018108659018598,-189.94533219525601,-62.74612820930439,95.20974213686506,1.0
1.4775850976207e+18,-519.7023142436128,-323.6246148651038,254.90417019837253,89.51991691237949,-87.62330852778717,1.0
1.477585097627666e+18,612.3990502160905,675.2400088410913,-304.65853076462946,-127.15178872861098,68.75205484300723,1.0
1.477585097635752e+18,-695.4072782683004,-1019.3163843946354,348.5017951411613,170.48929087868126,-56.597955944990495,1.0
1.477585097644741e+18,782.5564347176057,1345.264344564452,-391.2861198074242,-199.9973567113794,36.74678795527742,1.0
1.477585097651712e+18,-844.7177752951204,-1656.0710476004667,413.8399548494777,244.58345938896292,-23.359893568385548,1.0
1.4775850976597258e+18,921.6252462696677,1939.3611236394247,-434.3075206189833,-264.98780486248336,-0.06322029598517982,1.0
1.4775850976677599e+18,-923.6957104328548,-2172.833618794929,463.57851037709264,291.4929074136857,15.488968698081697,1.0
1.477585097676828e+18,970.9528699440774,2383.357152199889,-474.1679073383776,-307.3453927076179,-32.11590244105948,1.0
1.477585097683701e+18,-940.8916266982844,-2545.596196531348,482.370738727248,323.90910615461183,47.4626254378202,1.0
